"id_category";"id_product";"position"
"53";"2123";"16"
"53";"424";"18"
"53";"920";"18"
"53";"536";"19"
"53";"922";"19"
"53";"4470";"20"
"53";"423";"22"
"53";"921";"24"
"53";"4487";"24"
"53";"918";"26"
"53";"919";"26"
"53";"2221";"26"
"53";"497";"27"
"53";"2220";"27"
"53";"556";"28"
"53";"2222";"28"
"53";"513";"29"
"53";"917";"29"
"53";"499";"30"
"53";"514";"30"
"53";"515";"31"
"53";"557";"32"
"53";"498";"33"
"53";"500";"33"
"53";"516";"33"
"53";"1134";"35"
"53";"1192";"35"
"53";"1238";"37"
"53";"1239";"38"
"53";"1127";"39"
"53";"1240";"39"
"53";"1241";"41"
"53";"1242";"42"
"53";"1533";"43"
"53";"1536";"44"
"53";"1613";"44"
"53";"1534";"46"
"53";"1168";"48"
"53";"1537";"48"
"53";"1535";"50"
"53";"1538";"50"
"53";"1202";"51"
"53";"522";"52"
"53";"1201";"53"
"53";"1191";"55"
"53";"1094";"56"
"53";"1737";"56"
"53";"335";"57"
"53";"1713";"57"
"53";"351";"58"
"53";"1738";"59"
"53";"350";"60"
"53";"1272";"61"
"53";"1295";"64"
"53";"1633";"65"
"53";"1443";"66"
"53";"1634";"66"
"53";"1635";"68"
"53";"1437";"69"
"53";"1720";"69"
"53";"1458";"70"
"53";"1632";"70"
"53";"1348";"71"
"53";"1052";"72"
"53";"1486";"73"
"53";"364";"74"
"53";"1049";"75"
"53";"371";"77"
"53";"372";"78"
"53";"380";"79"
"53";"1061";"81"
"53";"1413";"81"
"53";"382";"82"
"53";"427";"82"
